Model;Link;Price usd($);Price UAH;City
Mitsubishi Outlander 2021Inform 2.0 CVT (145 л.с.) 2WD;https://auto.ria.com/newauto/auto-mitsubishi-outlander-1620189.html;22 023 $;599 000 грн;Днепр (Днепропетровск)
Mitsubishi Outlander 2021Instyle 2.4 CVT (167 л.с.) 4WD 7s;https://auto.ria.com/newauto/auto-mitsubishi-outlander-1839884.html;30 184 $;821 000 грн;Днепр (Днепропетровск)
Mitsubishi L 200 2021Ultimate New 2.4 DI-D AT (181 л.с.) 4WD;https://auto.ria.com/newauto/auto-mitsubishi-l-200-1856980.html;41 371 $;1 119 000 грн;Киев
Mitsubishi Outlander 2021Instyle 2.4 CVT (167 л.с.) 4WD 7s;https://auto.ria.com/newauto/auto-mitsubishi-outlander-1839883.html;30 184 $;821 000 грн;Днепр (Днепропетровск)
Mitsubishi L 200 2021Ultimate New 2.4 DI-D AT (181 л.с.) 4WD;https://auto.ria.com/newauto/auto-mitsubishi-l-200-1849545.html;41 371 $;1 119 000 грн;Ивано-Франковск
Mitsubishi Pajero Sport 2021Intense 2.4 DI-D AТ (181 л.с.) Super Select 4WD-II;https://auto.ria.com/newauto/auto-mitsubishi-pajero-sport-1860835.html;46 214 $;1 257 000 грн;Днепр (Днепропетровск)
Mitsubishi Outlander 2021Intense 2.0 CVT (145 л.с.) 4WD;https://auto.ria.com/newauto/auto-mitsubishi-outlander-1861457.html;28 172 $;762 000 грн;Николаев
Mitsubishi Outlander 2021Instyle 2.4 CVT (167 л.с.) 4WD 7s;https://auto.ria.com/newauto/auto-mitsubishi-outlander-1755268.html;30 184 $;821 000 грн;Днепр (Днепропетровск)
Mitsubishi Outlander 2021Invite 2.0 CVT (145 л.с.) 2WD;https://auto.ria.com/newauto/auto-mitsubishi-outlander-1839840.html;25 104 $;679 000 грн;Киев
Mitsubishi Outlander 2021Instyle 2.4 CVT (167 л.с.) 4WD 7s;https://auto.ria.com/newauto/auto-mitsubishi-outlander-1746736.html;30 184 $;821 000 грн;Днепр (Днепропетровск)
Mitsubishi ASX 2021Invite 1.6 MT (117 л.с.);https://auto.ria.com/newauto/auto-mitsubishi-asx-1853372.html;21 406 $;579 000 грн;Одесса
Mitsubishi Eclipse Cross 2021Ultimate 1.5 T-MIVEC CVT (150 л.с.) 4x4;https://auto.ria.com/newauto/auto-mitsubishi-eclipse-cross-1860822.html;33 052 $;899 000 грн;Днепр (Днепропетровск)
Mitsubishi Outlander 2021Ultimate 2.4 CVT (167 л.с.) 4WD 7s;https://auto.ria.com/newauto/auto-mitsubishi-outlander-1840456.html;33 607 $;909 000 грн;Киев
Mitsubishi Outlander 2021Ultimate 2.4 CVT (167 л.с.) 4WD 7s;https://auto.ria.com/newauto/auto-mitsubishi-outlander-1861647.html;33 420 $;909 000 грн;Днепр (Днепропетровск)
Mitsubishi Outlander 2021Invite 2.0 CVT (145 л.с.) 2WD;https://auto.ria.com/newauto/auto-mitsubishi-outlander-1857320.html;24 964 $;679 000 грн;Днепр (Днепропетровск)
Mitsubishi Outlander 2021Ultimate 2.4 CVT (167 л.с.) 4WD 7s;https://auto.ria.com/newauto/auto-mitsubishi-outlander-1862469.html;33 607 $;909 000 грн;Ивано-Франковск
Mitsubishi ASX 2021Invite 1.6 MT (117 л.с.);https://auto.ria.com/newauto/auto-mitsubishi-asx-1855445.html;21 406 $;579 000 грн;Кривой Рог
Mitsubishi Pajero Sport 2021Ultimate 2.4 DI-D AТ (181 л.с.) Super Select 4WD-II;https://auto.ria.com/newauto/auto-mitsubishi-pajero-sport-1851113.html;50 442 $;1 372 000 грн;Днепр (Днепропетровск)
Mitsubishi ASX 2021Instyle 2.0 CVT (150 л.с.) 4WD;https://auto.ria.com/newauto/auto-mitsubishi-asx-1856977.html;27 618 $;747 000 грн;Киев
Mitsubishi Outlander 2021Instyle 2.4 CVT (167 л.с.) 4WD;https://auto.ria.com/newauto/auto-mitsubishi-outlander-1852638.html;30 353 $;821 000 грн;Киев
Mitsubishi Outlander 2021Invite 2.0 CVT (145 л.с.) 2WD;https://auto.ria.com/newauto/auto-mitsubishi-outlander-1850061.html;25 104 $;679 000 грн;Кривой Рог
Mitsubishi L 200 2021Ultimate New 2.4 DI-D AT (181 л.с.) 4WD;https://auto.ria.com/newauto/auto-mitsubishi-l-200-1857696.html;41 371 $;1 119 000 грн;Харьков
Mitsubishi ASX 2021Invite 1.6 MT (117 л.с.);https://auto.ria.com/newauto/auto-mitsubishi-asx-1838402.html;21 287 $;579 000 грн;Днепр (Днепропетровск)
Mitsubishi Outlander 2021Inform 2.0 CVT (145 л.с.) 2WD;https://auto.ria.com/newauto/auto-mitsubishi-outlander-1839839.html;22 146 $;599 000 грн;Киев
Mitsubishi Outlander 2021Instyle 2.4 CVT (167 л.с.) 4WD 7s;https://auto.ria.com/newauto/auto-mitsubishi-outlander-1857291.html;30 184 $;821 000 грн;Днепр (Днепропетровск)
Mitsubishi Eclipse Cross 2021Ultimate 1.5 T-MIVEC CVT (150 л.с.) 4x4;https://auto.ria.com/newauto/auto-mitsubishi-eclipse-cross-1860253.html;34 346 $;929 000 грн;Киев
Mitsubishi ASX 2021Instyle 2.0 CVT (150 л.с.) 4WD;https://auto.ria.com/newauto/auto-mitsubishi-asx-1840952.html;27 464 $;747 000 грн;Днепр (Днепропетровск)
Mitsubishi ASX 2021Instyle 2.0 CVT (150 л.с.) 4WD;https://auto.ria.com/newauto/auto-mitsubishi-asx-1823373.html;27 464 $;747 000 грн;Днепр (Днепропетровск)
Mitsubishi Outlander 2021Invite 2.0 CVT (145 л.с.) 2WD;https://auto.ria.com/newauto/auto-mitsubishi-outlander-1861697.html;25 104 $;679 000 грн;Кривой Рог
Mitsubishi ASX 2021Instyle 2.0 CVT (150 л.с.) 4WD;https://auto.ria.com/newauto/auto-mitsubishi-asx-1835953.html;27 618 $;747 000 грн;Харьков
Mitsubishi Outlander 2020Inform 2.0 CVT (145 л.с.) 2WD;https://auto.ria.com/newauto/auto-mitsubishi-outlander-1845983.html;22 146 $;599 000 грн;Винница
Mitsubishi ASX 2021Invite 1.6 MT (117 л.с.);https://auto.ria.com/newauto/auto-mitsubishi-asx-1817825.html;21 287 $;579 000 грн;Днепр (Днепропетровск)
Mitsubishi Pajero Sport 2020Ultimate 2.4 DI-D AТ (181 л.с.) Super Select 4WD-II;https://auto.ria.com/newauto/auto-mitsubishi-pajero-sport-1848071.html;48 714 $;1 325 000 грн;Днепр (Днепропетровск)
Mitsubishi ASX 2021Invite 1.6 MT (117 л.с.);https://auto.ria.com/newauto/auto-mitsubishi-asx-1857373.html;21 287 $;579 000 грн;Днепр (Днепропетровск)
Mitsubishi Outlander 2021Ultimate 2.4 CVT (167 л.с.) 4WD 7s;https://auto.ria.com/newauto/auto-mitsubishi-outlander-1846426.html;33 607 $;909 000 грн;Харьков
Mitsubishi Outlander 2021Invite 2.0 CVT (145 л.с.) 2WD;https://auto.ria.com/newauto/auto-mitsubishi-outlander-1851611.html;25 104 $;679 000 грн;Ивано-Франковск
Mitsubishi Pajero Sport 2021Intense 2.4 DI-D MТ (181 л.с.) Super Select 4WD-II;https://auto.ria.com/newauto/auto-mitsubishi-pajero-sport-1859116.html;38 746 $;1 048 000 грн;Черновцы
Mitsubishi Outlander 2021Intense 2.0 CVT (145 л.с.) 4WD;https://auto.ria.com/newauto/auto-mitsubishi-outlander-1857778.html;28 172 $;762 000 грн;Харьков
Mitsubishi Pajero Sport 2021Ultimate 2.4 DI-D AТ (181 л.с.) Super Select 4WD-II;https://auto.ria.com/newauto/auto-mitsubishi-pajero-sport-1844530.html;50 442 $;1 372 000 грн;Днепр (Днепропетровск)
Mitsubishi ASX 2021Instyle 2.0 CVT (150 л.с.) 4WD;https://auto.ria.com/newauto/auto-mitsubishi-asx-1842606.html;27 464 $;747 000 грн;Днепр (Днепропетровск)
Mitsubishi Outlander 2021Invite 2.0 CVT (145 л.с.) 2WD;https://auto.ria.com/newauto/auto-mitsubishi-outlander-1845089.html;25 104 $;679 000 грн;Кривой Рог
Mitsubishi Eclipse Cross 2021Invite 2.0 MIVEC CVT (150 л.с.);https://auto.ria.com/newauto/auto-mitsubishi-eclipse-cross-1863072.html;23 773 $;643 000 грн;Одесса
Mitsubishi ASX 2021Invite 1.6 MT (117 л.с.);https://auto.ria.com/newauto/auto-mitsubishi-asx-1862082.html;21 406 $;579 000 грн;Херсон
Mitsubishi Outlander 2021Instyle 2.4 CVT (167 л.с.) 4WD 7s;https://auto.ria.com/newauto/auto-mitsubishi-outlander-1862301.html;30 353 $;821 000 грн;Кривой Рог
Mitsubishi Outlander 2021Intense 2.0 CVT (145 л.с.) 4WD;https://auto.ria.com/newauto/auto-mitsubishi-outlander-1852156.html;28 283 $;765 000 грн;Харьков
Mitsubishi ASX 2021Instyle 2.0 CVT (150 л.с.) 4WD;https://auto.ria.com/newauto/auto-mitsubishi-asx-1816106.html;27 464 $;747 000 грн;Днепр (Днепропетровск)
Mitsubishi Outlander 2021Inform 2.0 CVT (145 л.с.) 2WD;https://auto.ria.com/newauto/auto-mitsubishi-outlander-1763706.html;22 146 $;599 000 грн;Харьков
Mitsubishi L 200 2021Intense New 2.4 DI-D MT (154 л.с.) 4WD;https://auto.ria.com/newauto/auto-mitsubishi-l-200-1859699.html;34 716 $;939 000 грн;Харьков
Mitsubishi ASX 2020Invite 1.6 MT (117 л.с.);https://auto.ria.com/newauto/auto-mitsubishi-asx-1850089.html;21 406 $;579 000 грн;Черкассы
