Model;Link;Price usd($);Price UAH;City
Ford Tourneo Custom 2020Trend 2.0 TDI MT F320 (130 л.с.) L2H1;https://auto.ria.com/newauto/auto-ford-tourneo-custom-1835815.html;44 920 $;1 215 000 грн;Ивано-Франковск
Ford Puma 2020ST-Line 1.0 EcoBoost AT (125 л.с.);https://auto.ria.com/newauto/auto-ford-puma-1854168.html;26 309 $;711 600 грн;Херсон
Ford EcoSport 2020Titanium 1.0 EcoBoost AT (125 л.с.);https://auto.ria.com/newauto/auto-ford-ecosport-1860276.html;20 561 $;556 138 грн;Черкассы
Ford Kuga 2020Lux 2.0 EcoBlue AT (190 л.с.) AWD;https://auto.ria.com/newauto/auto-ford-kuga-1863921.html;37 822 $;1 023 000 грн;Харьков
Ford EcoSport 2020Titanium 1.0 EcoBoost AT (125 л.с.);https://auto.ria.com/newauto/auto-ford-ecosport-1863874.html;21 566 $;583 321 грн;Харьков
Ford Kuga 2020Titanium 2.0 EcoBlue AT (190 л.с.) AWD;https://auto.ria.com/newauto/auto-ford-kuga-1854183.html;35 115 $;949 800 грн;Тернополь
Ford Kuga 2020Titanium 	1.5 EcoBlue AT (120 л.с.);https://auto.ria.com/newauto/auto-ford-kuga-1862815.html;30 390 $;822 000 грн;Винница
Ford Puma 2020ST-Line Plus 1.0 EcoBoost AT (125 л.с.);https://auto.ria.com/newauto/auto-ford-puma-1862910.html;28 203 $;762 847 грн;Одесса
Ford Transit груз. 2020Trend 2.0D MT R470 (170 л.с.) L4H3;https://auto.ria.com/newauto/auto-ford-transit-gruz-1851076.html;43 996 $;1 190 000 грн;Ивано-Франковск
Ford Kuga 2021Titanium 2.0 EcoBlue AT (190 л.с.) AWD;https://auto.ria.com/newauto/auto-ford-kuga-1863956.html;34 990 $;946 402 грн;Киев
Ford Transit Custom 2020Trend F320 2.0D MT (130 л.с.) L2H1;https://auto.ria.com/newauto/auto-ford-transit-custom-1807383.html;44 267 $;1 197 340 грн;Одесса
Ford Puma 2020ST-Line 1.0 EcoBoost AT (125 л.с.);https://auto.ria.com/newauto/auto-ford-puma-1846505.html;26 308 $;711 584 грн;Кропивницкий (Кировоград)
Ford Kuga 2020Titanium 	1.5 EcoBlue AT (120 л.с.);https://auto.ria.com/newauto/auto-ford-kuga-1862000.html;31 206 $;844 056 грн;Черкассы
Ford Kuga 2020ST-Line 2.0 EcoBlue AT (190 л.с.) AWD;https://auto.ria.com/newauto/auto-ford-kuga-1845984.html;41 038 $;1 110 000 грн;Винница
Ford Ranger 2020XLT Двойная 2.0D EcoBlue MT (170 л.с.) AWD;https://auto.ria.com/newauto/auto-ford-ranger-1826695.html;35 862 $;970 000 грн;Винница
Ford Puma 2020ST-Line 1.0 EcoBoost AT (125 л.с.);https://auto.ria.com/newauto/auto-ford-puma-1857702.html;26 308 $;711 584 грн;Кропивницкий (Кировоград)
Ford Puma 2020ST-Line 1.0 EcoBoost AT (125 л.с.);https://auto.ria.com/newauto/auto-ford-puma-1863088.html;26 512 $;717 109 грн;Харьков
Ford Puma 2020Lux 1.0 EcoBoost AT (125 л.с.);https://auto.ria.com/newauto/auto-ford-puma-1860145.html;27 797 $;751 857 грн;Черкассы
Ford Puma 2020ST-Line 1.0 EcoBoost AT (125 л.с.);https://auto.ria.com/newauto/auto-ford-puma-1860180.html;26 472 $;716 004 грн;Черкассы
Ford Puma 2020Titanium 1.0 EcoBoost AT (125 л.с.);https://auto.ria.com/newauto/auto-ford-puma-1862608.html;24 947 $;674 764 грн;Николаев
Ford Puma 2020Titanium 1.0 EcoBoost AT (125 л.с.);https://auto.ria.com/newauto/auto-ford-puma-1847063.html;25 394 $;686 859 грн;Харьков
Ford Ranger 2021WildTrak Двойная 2.0D EcoBlue AT (213 л.с.) AWD;https://auto.ria.com/newauto/auto-ford-ranger-1853801.html;74 206 $;2 007 127 грн;Харьков
Ford Kuga 2020Lux 2.0 EcoBlue AT (190 л.с.) AWD;https://auto.ria.com/newauto/auto-ford-kuga-1862635.html;40 029 $;1 082 700 грн;Херсон
Ford Kuga 2020Titanium 	1.5 EcoBlue AT (120 л.с.);https://auto.ria.com/newauto/auto-ford-kuga-1849626.html;31 435 $;850 243 грн;Мукачево
Ford Puma 2020Titanium 1.0 EcoBoost AT (125 л.с.);https://auto.ria.com/newauto/auto-ford-puma-1857843.html;24 655 $;666 866 грн;Николаев
Ford Ranger 2020WildTrak Двойная 2.0D EcoBlue AT (213 л.с.) AWD;https://auto.ria.com/newauto/auto-ford-ranger-1848076.html;50 674 $;1 370 619 грн;Кропивницкий (Кировоград)
Ford Ranger 2021Raptor 2.0 EcoBlue AT (213 л.с.) AWD;https://auto.ria.com/newauto/auto-ford-ranger-1862550.html;74 497 $;2 015 000 грн;Ивано-Франковск
Ford Kuga 2020Individual 2.0 EcoBlue AT (190 л.с.) AWD;https://auto.ria.com/newauto/auto-ford-kuga-1861204.html;43 035 $;1 164 000 грн;Николаев
Ford Puma 2020Lux 1.0 EcoBoost AT (125 л.с.);https://auto.ria.com/newauto/auto-ford-puma-1859358.html;27 320 $;738 963 грн;Николаев
Ford Transit пасс. 2021Trend Minibus R410 L3H2 (130 л.с.);https://auto.ria.com/newauto/auto-ford-transit-pass-1851699.html;48 189 $;1 303 416 грн;Полтава
Ford Ranger 2020WildTrak Двойная 2.0D EcoBlue AT (213 л.с.) AWD;https://auto.ria.com/newauto/auto-ford-ranger-1861671.html;50 493 $;1 365 736 грн;Киев
Ford Tourneo Custom 2021Titanium 2.0 TDI AT F320 (185 л.с.) L2H1;https://auto.ria.com/newauto/auto-ford-tourneo-custom-1859085.html;52 936 $;1 431 815 грн;Николаев
Ford EcoSport 2020Titanium 1.0 EcoBoost AT (125 л.с.);https://auto.ria.com/newauto/auto-ford-ecosport-1846638.html;20 434 $;552 705 грн;Кропивницкий (Кировоград)
Ford Ranger 2021Raptor 2.0 EcoBlue AT (213 л.с.) AWD;https://auto.ria.com/newauto/auto-ford-ranger-1851650.html;74 208 $;2 007 190 грн;Киев
Ford Kuga 2021ST-Line 2.0 EcoBlue AT (190 л.с.) AWD;https://auto.ria.com/newauto/auto-ford-kuga-1862265.html;41 002 $;1 109 034 грн;Киев
Ford Puma 2020Lux 1.0 EcoBoost AT (125 л.с.);https://auto.ria.com/newauto/auto-ford-puma-1863730.html;28 095 $;759 902 грн;Черкассы
Ford EcoSport 2020Titanium 1.0 EcoBoost AT (125 л.с.);https://auto.ria.com/newauto/auto-ford-ecosport-1851610.html;20 209 $;546 619 грн;Киев
Ford Ranger 2020Raptor 2.0 EcoBlue AT (213 л.с.) AWD;https://auto.ria.com/newauto/auto-ford-ranger-1851649.html;73 214 $;1 980 281 грн;Киев
Ford Kuga 2020Titanium 2.0 EcoBlue AT (190 л.с.) AWD;https://auto.ria.com/newauto/auto-ford-kuga-1853256.html;34 589 $;935 570 грн;Ивано-Франковск
Ford Transit груз. 2020Trend 2.0D MT F350 (130 л.с.) L2H2;https://auto.ria.com/newauto/auto-ford-transit-gruz-1856135.html;35 186 $;951 720 грн;Киев
Ford Kuga 2021Lux 2.0 EcoBlue AT (190 л.с.) AWD;https://auto.ria.com/newauto/auto-ford-kuga-1847475.html;39 697 $;1 073 718 грн;Киев
Ford Kuga 2020Titanium 2.0 EcoBlue AT (190 л.с.) AWD;https://auto.ria.com/newauto/auto-ford-kuga-1846271.html;35 951 $;972 400 грн;Херсон
Ford Kuga 2020Titanium 	1.5 EcoBlue AT (120 л.с.);https://auto.ria.com/newauto/auto-ford-kuga-1861682.html;30 848 $;834 371 грн;Киев
Ford Transit Custom 2021Amb Plus F300 2.0D MT (130 л.с.) L1H1;https://auto.ria.com/newauto/auto-ford-transit-custom-1859959.html;33 977 $;919 022 грн;Тернополь
Ford Transit Custom 2020Trend F320 2.0D MT (130 л.с.) L2H1;https://auto.ria.com/newauto/auto-ford-transit-custom-1836230.html;44 920 $;1 215 000 грн;Ивано-Франковск
Ford Transit пасс. 2021Trend Minibus R460 L4H3 (130 л.с.);https://auto.ria.com/newauto/auto-ford-transit-pass-1835826.html;52 499 $;1 420 000 грн;Ивано-Франковск
Фургон Ford Transit груз. 2021Ambiente 2.0D MT F350 (130 л.с.) L3H3;https://auto.ria.com/newauto/auto-ford-transit-gruz-1818914.html;61 372 $;1 660 000 грн;Винница
Ford Kuga 2020ST-Line 2.0 EcoBlue AT (190 л.с.) AWD;https://auto.ria.com/newauto/auto-ford-kuga-1861349.html;41 292 $;1 116 868 грн;Одесса
Ford EcoSport 2020Titanium 1.0 EcoBoost AT (125 л.с.);https://auto.ria.com/newauto/auto-ford-ecosport-1848648.html;21 074 $;570 000 грн;Винница
Ford Transit груз. 2020Trend 2.0D MT F350 (130 л.с.) L2H2;https://auto.ria.com/newauto/auto-ford-transit-gruz-1849232.html;35 689 $;965 318 грн;Кропивницкий (Кировоград)
Фургон Ford Transit груз. 2021Ambiente 2.0D MT 470 (170 л.с.) L4H3;https://auto.ria.com/newauto/auto-ford-transit-gruz-1817197.html;59 524 $;1 610 000 грн;Винница
Ford Transit Connect груз. 2021Trend  1.5D MT 200L1 (100 л.с.);https://auto.ria.com/newauto/auto-ford-transit-connect-gruz-1793434.html;25 880 $;700 000 грн;Винница
Ford Transit Custom 2020Trend F320 2.0D MT (130 л.с.) L1H1;https://auto.ria.com/newauto/auto-ford-transit-custom-1808148.html;39 042 $;1 056 000 грн;Винница
