Model;Link;Price usd($);Price UAH;City
Mercedes-Benz GLS-Class 2021580 AT (489 л.с.) 4Matic;https://auto.ria.com/newauto/auto-mercedes-benz-gls-class-1840973.html;164 828 $;4 458 268 грн;Киев
Mercedes-Benz GLS-Class 2021AMG 63 AT (612 л.с.) 4Matic;https://auto.ria.com/newauto/auto-mercedes-benz-gls-class-1850304.html;211 922 $;5 732 068 грн;Киев
Mercedes-Benz Actros 20191845 LS BigSpace AT (449 л.с.) 4X2;https://auto.ria.com/newauto/auto-mercedes-benz-actros-1858363.html;121 238 $;3 279 239 грн;Львов
Mercedes-Benz Sprinter груз. 2021base 311 2.2 CDi MT (114 л.с.) 2WD;https://auto.ria.com/newauto/auto-mercedes-benz-sprinter-gruz-1861439.html;38 735 $;1 047 700 грн;Львов
Mercedes-Benz V-Class 2021AMG Style 300d AT (239 л.с.) Long 4Matic;https://auto.ria.com/newauto/auto-mercedes-benz-v-class-1836465.html;141 281 $;3 821 368 грн;Киев
Mercedes-Benz GLE-Class 2021Individual 300d AT (245 л.с.) 4Matic;https://auto.ria.com/newauto/auto-mercedes-benz-gle-class-1859664.html;81 088 $;2 193 261 грн;Львов
Mercedes-Benz GLE-Class 2021Coupe 350d AT (272 л.с.) 4Matic;https://auto.ria.com/newauto/auto-mercedes-benz-gle-class-1860442.html;111 644 $;3 019 734 грн;Киев
Mercedes-Benz GLE-Class 2021Coupe 400d AT (330 л.с.) 4Matic;https://auto.ria.com/newauto/auto-mercedes-benz-gle-class-1864408.html;122 138 $;3 303 592 грн;Киев
Mercedes-Benz GLA-Class 2021200d AT (150 л.с.) 4Matic;https://auto.ria.com/newauto/auto-mercedes-benz-gla-class-1838873.html;41 520 $;1 123 046 грн;Одесса
Mercedes-Benz Vito груз. 2021109 CDI MT (88 л.с.) Long;https://auto.ria.com/newauto/auto-mercedes-benz-vito-gruz-1858427.html;31 671 $;856 630 грн;Львов
Mercedes-Benz E-Class 2021220d 9G-Tronic (194 л.с.) 4Matic;https://auto.ria.com/newauto/auto-mercedes-benz-e-class-1859414.html;75 409 $;2 039 672 грн;Киев
