Model;Link;Price usd($);Price UAH;City
Subaru Forester 2021Individual 2.5i-S ES CVT Lineartronic (184 л.с.) AWD;https://auto.ria.com/newauto/auto-subaru-forester-1810680.html;41 412 $;1 120 100 грн;Одесса
Subaru Outback 2021Field 2.5i CVT Lineartronic (188 л.с.) AWD;https://auto.ria.com/newauto/auto-subaru-outback-1863013.html;47 323 $;1 280 000 грн;Днепр (Днепропетровск)
Subaru Outback 2021Limited 2.5i CVT Lineartronic (188 л.с.) AWD;https://auto.ria.com/newauto/auto-subaru-outback-1862212.html;46 214 $;1 250 000 грн;Одесса
Subaru XV 2021Premium 2.0i-S CVT Lineartronic (156 л.с.) AWD;https://auto.ria.com/newauto/auto-subaru-xv-1857924.html;38 195 $;1 033 100 грн;Киев
Subaru Outback 2021Limited 2.5i CVT Lineartronic (188 л.с.) AWD;https://auto.ria.com/newauto/auto-subaru-outback-1862971.html;46 214 $;1 250 000 грн;Днепр (Днепропетровск)
Subaru Forester 2021Active 2.0i-L CVT Lineartronic (156 л.с.) AWD;https://auto.ria.com/newauto/auto-subaru-forester-1863793.html;31 999 $;865 500 грн;Днепр (Днепропетровск)
Subaru Forester 2021Active 2.0i-L CVT Lineartronic (156 л.с.) AWD;https://auto.ria.com/newauto/auto-subaru-forester-1861086.html;31 999 $;865 500 грн;Харьков
Subaru XV 2021Active 2.0i CVT Lineartronic (156 л.с.) AWD;https://auto.ria.com/newauto/auto-subaru-xv-1858593.html;33 256 $;899 500 грн;Киев
Subaru XV 20202.0i-L MHEV e-BOXER Lineartronic (150 л.с.) AWD;https://auto.ria.com/newauto/auto-subaru-xv-1858592.html;39 097 $;1 057 500 грн;Киев
Subaru Forester 2021Touring 2.0i-L ES CVT Lineartronic (156 л.с.) AWD;https://auto.ria.com/newauto/auto-subaru-forester-1851957.html;38 073 $;1 029 800 грн;Харьков
Subaru Outback 2021Field 2.5i CVT Lineartronic (188 л.с.) AWD;https://auto.ria.com/newauto/auto-subaru-outback-1860605.html;47 323 $;1 280 000 грн;Харьков
Subaru Forester 2020Premium 2.5i-S ES CVT Lineartronic (184 л.с.) AWD;https://auto.ria.com/newauto/auto-subaru-forester-1855991.html;44 092 $;1 192 600 грн;Харьков
Subaru Forester 2021Premium 2.5i-S ES CVT Lineartronic (184 л.с.) AWD;https://auto.ria.com/newauto/auto-subaru-forester-1856954.html;43 874 $;1 186 700 грн;Харьков
Subaru Forester 2020Touring 2.0i-L ES CVT Lineartronic (156 л.с.) AWD;https://auto.ria.com/newauto/auto-subaru-forester-1848748.html;38 073 $;1 029 800 грн;Харьков
Subaru Forester 2020Premium 2.5i-S ES CVT Lineartronic (184 л.с.) AWD;https://auto.ria.com/newauto/auto-subaru-forester-1848640.html;43 874 $;1 186 700 грн;Харьков
Subaru Forester 2021Touring 2.0i-L ES CVT Lineartronic (156 л.с.) AWD;https://auto.ria.com/newauto/auto-subaru-forester-1859866.html;38 073 $;1 029 800 грн;Киев
Subaru Forester 2021Active 2.0i-L CVT Lineartronic (156 л.с.) AWD;https://auto.ria.com/newauto/auto-subaru-forester-1859865.html;32 487 $;878 700 грн;Киев
Subaru Outback 2021Limited 2.5i CVT Lineartronic (188 л.с.) AWD;https://auto.ria.com/newauto/auto-subaru-outback-1860603.html;46 214 $;1 250 000 грн;Харьков
Subaru Outback 2021Touring 2.5i CVT Lineartronic (188 л.с.) AWD;https://auto.ria.com/newauto/auto-subaru-outback-1860608.html;48 802 $;1 320 000 грн;Харьков
Subaru Forester 2020Premium 2.0i-L MHEV e-BOXER Lineartronic (150 л.с.) AWD;https://auto.ria.com/newauto/auto-subaru-forester-1856463.html;42 517 $;1 150 000 грн;Харьков
Subaru Forester 2020Touring 2.0i-L ES CVT Lineartronic (156 л.с.) AWD;https://auto.ria.com/newauto/auto-subaru-forester-1848686.html;38 073 $;1 029 800 грн;Харьков
Subaru Forester 2020Premium 2.5i-S ES CVT Lineartronic (184 л.с.) AWD;https://auto.ria.com/newauto/auto-subaru-forester-1857011.html;43 219 $;1 169 000 грн;Харьков
Subaru Forester 2021Premium 2.0i-L MHEV e-BOXER Lineartronic (150 л.с.) AWD;https://auto.ria.com/newauto/auto-subaru-forester-1858987.html;44 506 $;1 203 800 грн;Одесса
Subaru Forester 2021Touring 2.0i-L ES CVT Lineartronic (156 л.с.) AWD;https://auto.ria.com/newauto/auto-subaru-forester-1861006.html;38 073 $;1 029 800 грн;Днепр (Днепропетровск)
Subaru XV 2020Touring 2.0i-S CVT Lineartronic (156 л.с.) AWD;https://auto.ria.com/newauto/auto-subaru-xv-1858594.html;36 280 $;981 300 грн;Киев
