Model;Link;Price usd($);Price UAH;City
Mazda CX-30 2021Style 2.0 SkyActive AT (150 л.с.);https://auto.ria.com/newauto/auto-mazda-cx-30-1841002.html;27 969 $;756 500 грн;Харьков
Mazda CX-5 2021Top 2.5 SkyActiv-G AT (194 л.с.) 4WD;https://auto.ria.com/newauto/auto-mazda-cx-5-1861576.html;41 763 $;1 129 600 грн;Одесса
Mazda CX-5 2021Black Edition 2.0 SkyActiv-G AT (165 л.с.) 2WD;https://auto.ria.com/newauto/auto-mazda-cx-5-1860057.html;30 949 $;837 100 грн;Харьков
Mazda CX-5 2021Top 2.5 SkyActiv-G AT (194 л.с.) 4WD;https://auto.ria.com/newauto/auto-mazda-cx-5-1856311.html;41 763 $;1 129 600 грн;Киев
Mazda CX-5 2021Black Edition 2.0 SkyActiv-G AT (165 л.с.) 2WD;https://auto.ria.com/newauto/auto-mazda-cx-5-1859368.html;30 682 $;829 900 грн;Винница
Mazda CX-5 2020Touring S 2.0 SkyActiv-G AT (165 л.с.) 4WD;https://auto.ria.com/newauto/auto-mazda-cx-5-1840749.html;32 867 $;889 000 грн;Харьков
Mazda CX-5 2021Style+ 2.5 SkyActiv-G AT (194 л.с.) 4WD;https://auto.ria.com/newauto/auto-mazda-cx-5-1840751.html;38 243 $;1 034 400 грн;Харьков
Mazda CX-5 2021Top 2.5 SkyActiv-G AT (194 л.с.) 4WD;https://auto.ria.com/newauto/auto-mazda-cx-5-1859839.html;41 763 $;1 129 600 грн;Киев
Mazda CX-5 2021Top 2.5 SkyActiv-G AT (194 л.с.) 4WD;https://auto.ria.com/newauto/auto-mazda-cx-5-1859785.html;41 763 $;1 129 600 грн;Киев
Mazda 6 2021Top+ 2.5T AТ (231 л.с.);https://auto.ria.com/newauto/auto-mazda-6-1862734.html;40 528 $;1 096 200 грн;Киев
Mazda CX-5 2021Touring 2.0 SkyActiv-G AT (165 л.с.) 2WD;https://auto.ria.com/newauto/auto-mazda-cx-5-1836236.html;29 056 $;785 900 грн;Харьков
Mazda 6 2021Premium+ Black Edition 2.5T AТ (231 л.с.);https://auto.ria.com/newauto/auto-mazda-6-1862765.html;39 330 $;1 063 800 грн;Днепр (Днепропетровск)
Mazda 6 2021Black Edition 2.5T AТ (231 л.с.);https://auto.ria.com/newauto/auto-mazda-6-1862773.html;39 330 $;1 063 800 грн;Киев
Mazda CX-5 2021Top 2.5 SkyActiv-G AT (194 л.с.) 4WD;https://auto.ria.com/newauto/auto-mazda-cx-5-1855808.html;41 763 $;1 129 600 грн;Киев
Mazda 6 2021Premium+ Black Edition 2.5T AТ (231 л.с.);https://auto.ria.com/newauto/auto-mazda-6-1862755.html;39 330 $;1 063 800 грн;Днепр (Днепропетровск)
Mazda CX-30 2021Style 2.0 SkyActive AT (150 л.с.);https://auto.ria.com/newauto/auto-mazda-cx-30-1842734.html;27 969 $;756 500 грн;Харьков
Mazda CX-30 2021Executive 2.0 SkyActive AT (150 л.с.);https://auto.ria.com/newauto/auto-mazda-cx-30-1862752.html;30 017 $;811 900 грн;Днепр (Днепропетровск)
Mazda CX-5 2021Touring 2.0 SkyActiv-G AT (165 л.с.) 2WD;https://auto.ria.com/newauto/auto-mazda-cx-5-1859398.html;29 056 $;785 900 грн;Винница
Mazda CX-3 2021Touring + 2.0 SkyActiv-G АТ (121 л.с.);https://auto.ria.com/newauto/auto-mazda-cx-3-1843331.html;25 015 $;676 600 грн;Харьков
Mazda CX-5 2021Style+ 2.5 SkyActiv-G AT (194 л.с.) 4WD;https://auto.ria.com/newauto/auto-mazda-cx-5-1847893.html;38 243 $;1 034 400 грн;Харьков
Mazda CX-5 2021Touring 2.0 SkyActiv-G AT (165 л.с.) 2WD;https://auto.ria.com/newauto/auto-mazda-cx-5-1848297.html;29 056 $;785 900 грн;Харьков
Mazda CX-5 2021Touring 2.0 SkyActiv-G AT (165 л.с.) 2WD;https://auto.ria.com/newauto/auto-mazda-cx-5-1857275.html;29 056 $;785 900 грн;Киев
Mazda CX-5 2021Touring 2.0 SkyActiv-G AT (165 л.с.) 4WD;https://auto.ria.com/newauto/auto-mazda-cx-5-1859810.html;31 692 $;857 200 грн;Киев
Mazda CX-5 2021Touring S 2.0 SkyActiv-G AT (165 л.с.) 2WD;https://auto.ria.com/newauto/auto-mazda-cx-5-1842580.html;30 283 $;819 100 грн;Харьков
Mazda 6 2021Top 2.5T AТ (231 л.с.);https://auto.ria.com/newauto/auto-mazda-6-1856553.html;41 656 $;1 126 700 грн;Винница
Mazda CX-5 2021Top 2.5 SkyActiv-G AT (194 л.с.) 4WD;https://auto.ria.com/newauto/auto-mazda-cx-5-1840750.html;41 763 $;1 129 600 грн;Харьков
Mazda CX-5 2021Touring S 2.0 SkyActiv-G AT (165 л.с.) 2WD;https://auto.ria.com/newauto/auto-mazda-cx-5-1842582.html;30 283 $;819 100 грн;Харьков
Mazda 6 2021Touring 2.0 AТ (165 л.с.);https://auto.ria.com/newauto/auto-mazda-6-1855962.html;27 322 $;739 000 грн;Винница
Mazda CX-5 2021Style+ 2.5 SkyActiv-G AT (194 л.с.) 4WD;https://auto.ria.com/newauto/auto-mazda-cx-5-1840883.html;38 243 $;1 034 400 грн;Харьков
Mazda 6 2021Touring 2.0 AТ (165 л.с.);https://auto.ria.com/newauto/auto-mazda-6-1850989.html;27 322 $;739 000 грн;Винница
Mazda CX-30 2021Executive 2.0 SkyActive AT (150 л.с.);https://auto.ria.com/newauto/auto-mazda-cx-30-1836850.html;30 017 $;811 900 грн;Харьков
Mazda CX-3 2021Touring + 2.0 SkyActiv-G АТ (121 л.с.);https://auto.ria.com/newauto/auto-mazda-cx-3-1851002.html;25 015 $;676 600 грн;Винница
Mazda CX-3 2021Touring + 2.0 SkyActiv-G АТ (121 л.с.);https://auto.ria.com/newauto/auto-mazda-cx-3-1851001.html;25 015 $;676 600 грн;Винница
Mazda CX-5 2021Touring 2.0 SkyActiv-G AT (165 л.с.) 4WD;https://auto.ria.com/newauto/auto-mazda-cx-5-1837043.html;31 692 $;857 200 грн;Харьков
Mazda CX-3 2021Touring + 2.0 SkyActiv-G АТ (121 л.с.);https://auto.ria.com/newauto/auto-mazda-cx-3-1859455.html;25 015 $;676 600 грн;Винница
Mazda CX-5 2021Touring 2.0 SkyActiv-G AT (165 л.с.) 2WD;https://auto.ria.com/newauto/auto-mazda-cx-5-1848299.html;29 056 $;785 900 грн;Харьков
Mazda CX-9 2021Top 2.5 АТ (231 л.с.) AWD;https://auto.ria.com/newauto/auto-mazda-cx-9-1861704.html;56 137 $;1 518 400 грн;Киев
Mazda CX-5 2021Touring 2.0 SkyActiv-G AT (165 л.с.) 2WD;https://auto.ria.com/newauto/auto-mazda-cx-5-1847719.html;29 056 $;785 900 грн;Харьков
Mazda CX-5 2021Black Edition 2.0 SkyActiv-G AT (165 л.с.) 2WD;https://auto.ria.com/newauto/auto-mazda-cx-5-1860059.html;30 949 $;837 100 грн;Харьков
Mazda CX-5 2021Touring S 2.0 SkyActiv-G AT (165 л.с.) 4WD;https://auto.ria.com/newauto/auto-mazda-cx-5-1846110.html;32 867 $;889 000 грн;Харьков
Mazda CX-5 2021Style+ 2.5 SkyActiv-G AT (194 л.с.) 4WD;https://auto.ria.com/newauto/auto-mazda-cx-5-1846004.html;38 243 $;1 034 400 грн;Харьков
Mazda CX-9 2021Top 2.5 АТ (231 л.с.) AWD;https://auto.ria.com/newauto/auto-mazda-cx-9-1840752.html;56 137 $;1 518 400 грн;Харьков
Mazda CX-5 2021Touring S 2.0 SkyActiv-G AT (165 л.с.) 2WD;https://auto.ria.com/newauto/auto-mazda-cx-5-1847338.html;30 283 $;819 100 грн;Харьков
Mazda CX-5 2021Style+ 2.5 SkyActiv-G AT (194 л.с.) 4WD;https://auto.ria.com/newauto/auto-mazda-cx-5-1840882.html;38 243 $;1 034 400 грн;Харьков
Mazda CX-5 2021Touring S 2.0 SkyActiv-G AT (165 л.с.) 2WD;https://auto.ria.com/newauto/auto-mazda-cx-5-1850995.html;29 906 $;808 900 грн;Винница
Mazda CX-5 2021Touring 2.0 SkyActiv-G AT (165 л.с.) 4WD;https://auto.ria.com/newauto/auto-mazda-cx-5-1846111.html;31 692 $;857 200 грн;Харьков
Mazda CX-3 2021Touring + 2.0 SkyActiv-G АТ (121 л.с.);https://auto.ria.com/newauto/auto-mazda-cx-3-1859055.html;25 015 $;676 600 грн;Винница
Mazda CX-5 2021Touring 2.0 SkyActiv-G AT (165 л.с.) 2WD;https://auto.ria.com/newauto/auto-mazda-cx-5-1859515.html;29 056 $;785 900 грн;Винница
